ip,port,protocol,state,service,version,scan_type,is_open
172.16.12.205,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,ACK Scan,1
192.168.1.181,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
192.168.1.86,25,tcp,open,smtp,Exim smtpd,ACK Scan,1
172.16.34.206,445,tcp,open,microsoft-ds,Microsoft Windows 10,Version Detection,1
172.16.35.242,5432,tcp,open,postgresql,PostgreSQL 13.1,ACK Scan,1
172.16.7.180,23696,udp,closed,unknown,unknown,Connect Scan,0
10.0.34.110,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
172.16.10.38,727,tcp,open,unknown,unknown,ACK Scan,1
10.0.20.27,17923,tcp,closed,unknown,unknown,Version Detection,0
10.0.10.42,5432,tcp,open,postgresql,PostgreSQL 12.5,Version Detection,1
192.168.1.224,27017,tcp,open,mongodb,MongoDB 4.4.1,Version Detection,1
10.0.23.16,41879,tcp,filtered,unknown,unknown,Version Detection,0
192.168.1.211,27017,tcp,open,mongodb,MongoDB 4.4.1,Connect Scan,1
192.168.1.16,3306,tcp,open,mysql,MariaDB 10.3,SYN Scan,1
192.168.1.39,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
192.168.1.189,27017,tcp,open,mongodb,MongoDB 4.4.1,SYN Scan,1
192.168.1.94,21,tcp,open,ftp,ProFTPD 1.3.5,ACK Scan,1
172.16.27.240,143,tcp,open,imap,Dovecot imapd,SYN Scan,1
192.168.1.116,80,tcp,open,http,Apache httpd 2.4.41,Connect Scan,1
192.168.1.96,80,tcp,open,http,Apache httpd 2.4.41,Connect Scan,1
192.168.1.227,41365,tcp,filtered,unknown,unknown,Version Detection,0
172.16.34.72,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,SYN Scan,1
10.0.2.12,21,tcp,open,ftp,FileZilla Server,Version Detection,1
192.168.1.152,5432,tcp,open,postgresql,PostgreSQL 13.1,ACK Scan,1
192.168.1.107,21,tcp,open,ftp,vsftpd 3.0.3,Connect Scan,1
192.168.1.248,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
192.168.1.148,27017,tcp,open,mongodb,MongoDB 4.4.1,Connect Scan,1
172.16.31.251,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
172.16.13.61,3306,tcp,open,mysql,MySQL 5.7.33,ACK Scan,1
10.0.27.233,80,tcp,open,http,Microsoft IIS 10.0,Version Detection,1
192.168.1.225,23,tcp,open,telnet,Linux telnetd,Version Detection,1
172.16.28.211,143,tcp,open,imap,Courier imapd,Version Detection,1
192.168.1.82,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
172.16.29.8,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
192.168.1.106,53266,udp,closed,unknown,unknown,Version Detection,0
172.16.18.122,53,udp,open,domain,dnsmasq 2.79,SYN Scan,1
10.0.5.187,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,SYN Scan,1
192.168.1.205,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.160,45894,udp,filtered,unknown,unknown,Version Detection,0
10.0.3.198,80,tcp,open,http,Microsoft IIS 10.0,Connect Scan,1
192.168.1.13,37700,udp,closed,unknown,unknown,SYN Scan,0
172.16.35.200,10246,udp,filtered,unknown,unknown,ACK Scan,0
172.16.38.180,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,SYN Scan,1
172.16.26.95,5432,tcp,open,postgresql,PostgreSQL 12.5,ACK Scan,1
172.16.31.147,5432,tcp,open,postgresql,PostgreSQL 12.5,Connect Scan,1
172.16.8.227,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
10.0.9.181,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
172.16.7.55,8080,tcp,open,http-proxy,Tomcat 9.0,Connect Scan,1
192.168.1.101,56203,udp,filtered,unknown,unknown,SYN Scan,0
172.16.12.229,21,tcp,open,ftp,FileZilla Server,Version Detection,1
192.168.1.158,8080,tcp,open,http-proxy,Tomcat 9.0,ACK Scan,1
172.16.34.3,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
192.168.1.194,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
192.168.1.226,22,tcp,open,ssh,OpenSSH 8.2p1,Connect Scan,1
10.0.34.178,25,tcp,open,smtp,Postfix smtpd,SYN Scan,1
10.0.18.169,143,tcp,open,imap,Courier imapd,SYN Scan,1
192.168.1.170,3499,udp,filtered,unknown,unknown,Connect Scan,0
192.168.1.216,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Connect Scan,1
10.0.6.191,110,tcp,open,pop3,Dovecot pop3d,ACK Scan,1
10.0.33.71,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
172.16.15.205,53,udp,open,domain,ISC BIND 9.11,ACK Scan,1
10.0.30.150,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,SYN Scan,1
10.0.31.154,53,udp,open,domain,dnsmasq 2.79,Connect Scan,1
172.16.11.129,28393,tcp,filtered,unknown,unknown,Connect Scan,0
192.168.1.103,25,tcp,open,smtp,Exim smtpd,Version Detection,1
172.16.37.69,17986,udp,filtered,unknown,unknown,ACK Scan,0
172.16.25.135,143,tcp,open,imap,Dovecot imapd,Version Detection,1
10.0.22.252,59125,tcp,closed,unknown,unknown,Version Detection,0
172.16.4.54,22,tcp,open,ssh,OpenSSH 8.2p1,ACK Scan,1
192.168.1.60,53,udp,open,domain,dnsmasq 2.79,Version Detection,1
172.16.19.68,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,SYN Scan,1
10.0.28.0,22,tcp,open,ssh,OpenSSH 7.6p1,ACK Scan,1
172.16.16.138,3306,tcp,open,mysql,MariaDB 10.3,SYN Scan,1
192.168.1.146,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
172.16.20.25,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
10.0.20.103,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
192.168.1.70,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
172.16.15.141,43629,tcp,closed,unknown,unknown,SYN Scan,0
10.0.8.110,5432,tcp,open,postgresql,PostgreSQL 13.1,ACK Scan,1
10.0.34.146,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
10.0.28.46,14631,tcp,closed,unknown,unknown,Version Detection,0
10.0.27.100,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Connect Scan,1
192.168.1.114,53,udp,open,domain,ISC BIND 9.11,Version Detection,1
172.16.15.32,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.149,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,SYN Scan,1
10.0.29.213,53,udp,open,domain,ISC BIND 9.11,ACK Scan,1
192.168.1.204,47339,tcp,filtered,unknown,unknown,Version Detection,0
10.0.4.162,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
10.0.23.16,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
172.16.3.57,110,tcp,open,pop3,Dovecot pop3d,SYN Scan,1
192.168.1.250,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
172.16.18.1,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.189,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,SYN Scan,1
172.16.35.116,5432,tcp,open,postgresql,PostgreSQL 12.5,Version Detection,1
10.0.3.241,26114,udp,filtered,unknown,unknown,Connect Scan,0
192.168.1.227,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
172.16.4.105,43252,udp,closed,unknown,unknown,SYN Scan,0
192.168.1.105,22,tcp,open,ssh,OpenSSH 7.6p1,Connect Scan,1
172.16.17.85,64776,udp,closed,unknown,unknown,ACK Scan,0
172.16.13.137,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
172.16.24.205,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
172.16.35.139,110,tcp,open,pop3,Courier pop3d,SYN Scan,1
192.168.1.247,143,tcp,open,imap,Dovecot imapd,ACK Scan,1
172.16.18.82,27017,tcp,open,mongodb,MongoDB 4.4.1,Connect Scan,1
172.16.27.65,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
192.168.1.139,25,tcp,open,smtp,Postfix smtpd,Connect Scan,1
10.0.37.105,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,SYN Scan,1
192.168.1.96,33786,udp,closed,unknown,unknown,SYN Scan,0
172.16.5.34,23,tcp,open,telnet,Linux telnetd,Version Detection,1
192.168.1.18,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Connect Scan,1
10.0.11.220,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,SYN Scan,1
10.0.32.249,5432,tcp,open,postgresql,PostgreSQL 13.1,ACK Scan,1
172.16.1.253,59496,tcp,open,unknown,unknown,SYN Scan,1
172.16.19.161,55664,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.231,443,tcp,open,https,Apache httpd 2.4.41,Version Detection,1
192.168.1.125,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
10.0.21.69,53,udp,open,domain,ISC BIND 9.11,SYN Scan,1
192.168.1.59,443,tcp,open,https,Apache httpd 2.4.41,SYN Scan,1
192.168.1.202,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
10.0.12.241,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
10.0.32.205,80,tcp,open,http,Apache httpd 2.4.41,ACK Scan,1
172.16.37.204,443,tcp,open,https,Microsoft IIS 10.0,Version Detection,1
172.16.19.1,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
192.168.1.10,52845,tcp,closed,unknown,unknown,Connect Scan,0
10.0.8.166,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
10.0.29.246,7330,udp,open,unknown,unknown,ACK Scan,1
172.16.7.76,21,tcp,open,ftp,FileZilla Server,SYN Scan,1
10.0.26.90,6371,tcp,closed,unknown,unknown,Version Detection,0
172.16.8.247,143,tcp,open,imap,Courier imapd,Connect Scan,1
172.16.16.14,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
192.168.1.187,25,tcp,open,smtp,Microsoft Exchange,SYN Scan,1
192.168.1.9,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
172.16.21.79,3306,tcp,open,mysql,MySQL 5.7.33,Connect Scan,1
172.16.35.162,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
10.0.0.10,41675,tcp,closed,unknown,unknown,Version Detection,0
10.0.5.101,443,tcp,open,https,Microsoft IIS 10.0,Version Detection,1
192.168.1.186,53,udp,open,domain,ISC BIND 9.11,Version Detection,1
172.16.12.193,8080,tcp,open,http-proxy,Tomcat 9.0,ACK Scan,1
192.168.1.67,53169,tcp,open,unknown,unknown,ACK Scan,1
172.16.33.38,25,tcp,open,smtp,Postfix smtpd,Connect Scan,1
10.0.29.254,110,tcp,open,pop3,Courier pop3d,SYN Scan,1
10.0.9.245,3485,udp,filtered,unknown,unknown,ACK Scan,0
10.0.37.236,22,tcp,open,ssh,Dropbear sshd,Connect Scan,1
172.16.4.165,53,udp,open,domain,ISC BIND 9.11,Connect Scan,1
172.16.28.249,3306,tcp,open,mysql,MySQL 5.7.33,ACK Scan,1
10.0.25.228,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
192.168.1.25,21,tcp,open,ftp,vsftpd 3.0.3,Connect Scan,1
172.16.34.251,37550,tcp,filtered,unknown,unknown,Version Detection,0
192.168.1.205,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
192.168.1.222,27017,tcp,open,mongodb,MongoDB 4.2.8,ACK Scan,1
10.0.21.100,23,tcp,open,telnet,Linux telnetd,ACK Scan,1
172.16.8.94,143,tcp,open,imap,Dovecot imapd,Version Detection,1
192.168.1.146,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
192.168.1.173,23,tcp,open,telnet,Cisco IOS telnetd,Connect Scan,1
10.0.32.198,445,tcp,open,microsoft-ds,Microsoft Windows 10,Version Detection,1
172.16.29.253,13691,tcp,filtered,unknown,unknown,ACK Scan,0
172.16.38.235,28768,udp,open,unknown,unknown,ACK Scan,1
10.0.10.6,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
10.0.2.208,22,tcp,open,ssh,OpenSSH 8.2p1,Version Detection,1
192.168.1.240,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
10.0.22.255,22,tcp,open,ssh,OpenSSH 7.6p1,SYN Scan,1
172.16.4.222,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.200,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
